Pip,Date,Meaning
"good idea, but not panacea",2021-02-07,"iyi fikir, ama her sorunu da çözmez"
be short on something (and long on something else),2021-02-07,"bir şeyin gereğinden az, başka bir şeyin gereğinden çok olması "
wimp out (of something),2021-02-08,korkmak/tırsmak
look down on somebody,2021-02-08,hor görmek/tepeden bakmak
lust after,2021-02-09,arzulamak/çılgınca istemek
easier said than done,2021-02-10,söylemesi kolay
pet peeve (one of my biggest pet peeves...),2021-02-11,bam teli/(birinin) nefret ettiği şey
bite the dust,2021-02-12,ölmek/nalları dikmek
to be green (I'm still green...),2021-02-13,(bir konuda) tecrübesiz olmak
colour me *,2021-02-14,(
to be under the weather,2021-02-15,hasta hissetmek
break a leg!,2021-02-17,bol şans
a perfect storm,2021-02-18,aynı anda bir çok kötü şeyin olduğu oldukça kötü bir durum
spill the beans,2021-02-19,ağzındaki baklayı çıkarmak/bir sırrı açık etmek
like two peas in a pod,2021-02-20,çok benzer şeyler
take it with a grain of salt,2021-02-21,çok da ciddiye alma (yanlış olabilir)
break the ice,2021-02-22,buzları kırmak/yeni tanışan insanların daha rahat etmesini sağlamak
to be snowed under (with something),2021-02-23,çok yoğun olmak/işten başını kaldıramamak
burn bridges/boats,2021-02-24,geri dönülemeyecek bir noktaya gelmek/gemileri yakmak
once in a blue moon,2021-02-25,nadiren/kırk yılda bir
a storm in a teacup,2021-02-26,önemsiz bir mesele için fazlaca öfkelenmek/sinirlenmek
call it a day,2021-02-27,çalışmayı bırakmak (yeterince yaptığı ya da yorulduğu için)
through thick and thin,2021-02-28,iyi zamanda kötü zamanda
bite off more than you can chew,2021-03-02,boyundan büyük işlere kalkışmak
grit your teeth,2021-03-03,dişini sıkmak/dayanmak
a blessing in disguise,2021-03-03,ilk başta kötü görünen ama aslında iyi olan şey
ignorance is bliss,2021-03-04,bilmemen daha iyi
pull someone's leg,2021-03-05,şaka yapmak/işletmek
pull yourself together,2021-03-07,aklını başına topla/sakinleş
be on cloud nine,2021-03-07,aşırı mutlu olmak
take someone aback,2021-03-08,çok şaşırtmak/afallatmak
err on the side of something (e.g. caution),2021-03-09,bir şeye öncelik vermek/dikkat göstermek (gereksiz ve aşırı olsa bile)
add insult to injury,2021-03-11,kötü bir durumu daha da kötüleştirmek
bolt from the blue,2021-03-11,ani-beklenmedik sürpriz
every cloud has a silver lining,2021-03-12,her şerde bir hayır vardır
let the cat out of the bag,2021-03-13,bir sırrı açıklamak/ağzındaki baklayı çıkarmak
well begun is half done,2021-03-14,başlamak bitirmenin yarısıdır
finer than frog's hair,2021-03-15,müthiş görünen/çok ince/zihinsel ve fiziksel olarak çok iyi durumda
haste make waste,2021-03-16,acele işe şeytan karışır/acele giden ecele gider
shape up or ship out,2021-03-17,ya bu deveyi güdersin ya bu diyardan gidersin
cut somebody some slack,2021-03-18,müsamaha etmek/çok eleştirmemek
