Word,Date,Collocation,Notes,PoS,Meaning
unintelligible,2020-09-08,NaN,NaN,adjective,anlaşılmaz
disposed,2020-09-08,NaN,NaN,adjective,hazır/eğilimli
zephyr,2020-09-08,NaN,NaN,noun,ince kumaş-gömlek/batı rüzgarı
epitaph,2020-09-08,NaN,NaN,noun,mezar yazısı
ostensible,2020-09-08,NaN,NaN,adjective,sözde/görünürde
sybarite,2020-09-08,NaN,NaN,noun,hovarda
pontificate,2020-09-08,about/on smt,pnc. difference n/v,"noun, verb",papalık/ahkam kesmek
cascade,2020-09-09,NaN,NaN,"adjective, noun",kademeli/çağlayan
crumb,2020-09-09,NaN,"""breadcrumb""","noun, verb",kırıntı/galetaya bulamak
volatile,2020-09-09,NaN,NaN,adjective,uçucu/geçici
auxiliary,2020-09-09,NaN,NaN,"noun, adjective",yardımcı
proximate,2020-09-09,NaN,>approximate,adjective,en yakın/yaklaşık
insouciant,2020-09-10,NaN,NaN,adjective,ilgisiz/kaygısız
precept,2020-09-10,NaN,NaN,noun,kural/emir
discretionary,2020-09-10,NaN,NaN,adjective,isteğe bağlı/ihtiyari
demijohn,2020-09-10,NaN,NaN,noun,damacana
porch,2020-09-11,NaN,NaN,noun,veranda
strangle,2020-09-12,NaN,NaN,verb,boğmak/boğazlamak
candor,2020-09-12,NaN,NaN,noun,samimiyet/açık sözlülük
gratuitous,2020-09-12,NaN,NaN,adjective,gereksiz/nedensiz
deride,2020-09-14,NaN,NaN,verb,aşağılamak
forsake,2020-09-14,NaN,NaN,verb,zor durumda terketmek
scold,2020-09-14,NaN,NaN,"noun, verb",huysuz kadın/azarlamak
cumulative,2020-09-14,NaN,NaN,adjective,birikimli/birikmiş
placate,2020-09-14,NaN,NaN,verb,yatıştırmak/sakinleştirmek
riddance,2020-09-15,NaN,NaN,noun,kurtulma/başından atma
tangle,2020-09-15,with,NaN,"noun, verb",arapsaçı/dolaştırmak
latrine,2020-09-15,NaN,communal one in a camp or barracks.,noun,tuvalet/hela
communal,2020-09-15,NaN,NaN,adjective,toplumsal/müşterek
shun,2020-09-15,NaN,NaN,verb,çekinmek/uzak durmak
confidant,2020-09-17,NaN,NaN,noun,sırdaş
enmity,2020-09-17,NaN,NaN,noun,düşmanlık/nefret
insatiable,2020-09-17,NaN,NaN,adjective,doyumsuz/açgözlü
brusque,2020-09-17,NaN,NaN,adjective,kaba/nezaketsiz
inept,2020-09-17,NaN,NaN,adjective,beceriksiz
indolent,2020-09-17,NaN,NaN,adjective,tembel/uyuşuk
demure,2020-09-19,NaN,typically used of a woman,adjective,mütevazi/çekingen
governess,2020-09-19,NaN,NaN,noun,mürebbiye/eğitici kadın
pert,2020-09-19,NaN,NaN,adjective,şımarık kadın/şuh
impertinent,2020-09-19,NaN,NaN,adjective,küstah/terbiyesiz
burnish,2020-09-20,NaN,NaN,verb,cilalamak/parlatmak
dejected,2020-09-20,NaN,NaN,adjective,keyifsiz/üzgün
hush,2020-09-20,NaN,NaN,"verb, noun",susturmak-sakinleştirmek/sessizlik
contend,2020-09-20,NaN,NaN,verb,baş etmek/iddia etmek
apostasy,2020-09-20,NaN,NaN,noun,irtidat/döneklik
excavation,2020-09-22,NaN,NaN,noun,kazı/hafriyat
despot,2020-09-22,NaN,NaN,noun,despot/acımasız/diktatör
sly,2020-09-22,NaN,NaN,adjective,sinsi/kurnaz
